0.882,0
0.883,7
0.884,9
0.885,10
0.886,12
0.887,13
0.888,14
0.889,15
0.890,16
0.891,17
0.892,18
0.893,19
0.894,20
0.895,21
0.896,22
0.897,23
0.898,23
0.899,24
0.900,25
0.901,26
0.902,26
0.903,27
0.904,28
0.905,29
0.906,29
0.907,30
0.908,31
0.909,31
0.910,32
0.911,32
0.912,33
0.913,34
0.914,34
0.915,35
0.916,36
0.917,36
0.918,37
0.919,37
0.920,38
0.921,39
0.922,39
0.923,40
0.924,40
0.925,41
0.926,42
0.927,42
0.928,43
0.929,43
0.930,44
0.931,45
0.932,45
0.933,46
0.934,46
0.935,47
0.936,47
0.937,48
0.938,49
0.939,49
0.940,50
0.941,50
0.942,51
0.943,52
0.944,52
0.945,53
0.946,54
0.947,54
0.948,55
0.949,56
0.950,56
0.951,57
0.952,58
0.953,58
0.954,59
0.955,60
0.956,61
0.957,61
0.958,62
0.959,63
0.960,64
0.961,65
0.962,66
0.963,68
0.964,71
0.965,73
0.966,76
0.967,78
0.968,81
0.969,83
0.970,85
0.971,88
0.972,90
0.973,93
0.974,95
0.975,98
0.976,100
0.977,103
0.978,105
0.979,108
0.980,111
0.981,113
0.982,116
0.983,119
0.984,123
0.985,126
0.986,129
0.987,133
0.988,137
0.989,141
0.990,146
0.991,151
0.992,156
0.993,162
0.994,170
0.995,178
0.996,188
0.997,202
0.998,221
0.999,255
